survey_number,municipality,watershed,neighborhood,respondent_name,birth_date,sex,education_level,monthly_income,social_programs,housing_type,housing_material,risk_types,latitude,longitude,household_size,dependents,observations
001,Municipality_A,Watershed_01,Zone_A,Resident_A,1985-04-15,Female,High School,2200,Benefit_A,Owned,Masonry,Flood,-23.5012,-46.6013,4,2,Sample observation
002,Municipality_A,Watershed_01,Zone_B,Resident_B,1972-08-22,Male,Elementary School,1400,Benefit_B,Owned,Wood,Flood;Erosion,-23.5020,-46.6020,3,1,Sample observation
003,Municipality_A,Watershed_01,Zone_C,Resident_C,1991-11-10,Female,College Degree,4500,None,Financed,Masonry,None,-23.5030,-46.6030,2,0,Sample observation
004,Municipality_A,Watershed_01,Zone_D,Resident_D,1968-02-18,Male,Elementary School,1100,Benefit_C,Owned,Mixed,Flood,-23.5040,-46.6040,2,0,Sample observation
005,Municipality_A,Watershed_01,Zone_E,Resident_E,1988-09-05,Female,High School,2800,Benefit_A;Benefit_C,Owned,Masonry,Flood;Erosion,-23.5050,-46.6050,5,3,Sample observation
006,Municipality_A,Watershed_01,Zone_F,Resident_F,1979-06-11,Male,High School,3200,None,Owned,Masonry,None,-23.5060,-46.6060,3,1,Sample observation
007,Municipality_A,Watershed_01,Zone_G,Resident_G,1958-01-29,Female,Elementary School,1500,Benefit_D,Owned,Wood,Flood,-23.5070,-46.6070,1,0,Sample observation
008,Municipality_A,Watershed_01,Zone_H,Resident_H,1995-07-18,Male,College Degree,5200,None,Financed,Masonry,None,-23.5080,-46.6080,2,0,Sample observation
009,Municipality_A,Watershed_01,Zone_I,Resident_I,1982-03-24,Female,High School,2100,Benefit_A,Owned,Masonry,Flood;Landslide,-23.5090,-46.6090,4,2,Sample observation
010,Municipality_A,Watershed_01,Zone_J,Resident_J,1970-12-10,Male,Elementary School,1300,Benefit_B,Owned,Wood,Erosion,-23.5100,-46.6100,2,0,Sample observation
011,Municipality_B,Watershed_02,Zone_K,Resident_K,1997-04-02,Female,High School,2600,None,Rented,Masonry,None,-23.5110,-46.6110,3,1,Sample observation
012,Municipality_B,Watershed_02,Zone_L,Resident_L,1963-09-14,Male,Elementary School,1800,Benefit_C,Owned,Mixed,Flood,-23.5120,-46.6120,2,0,Sample observation
013,Municipality_B,Watershed_02,Zone_M,Resident_M,1989-05-27,Female,College Degree,4800,None,Financed,Masonry,None,-23.5130,-46.6130,2,0,Sample observation
014,Municipality_B,Watershed_02,Zone_N,Resident_N,1975-11-03,Male,High School,3000,None,Owned,Masonry,Erosion,-23.5140,-46.6140,4,2,Sample observation
015,Municipality_B,Watershed_02,Zone_O,Resident_O,1955-02-15,Female,Elementary School,1518,Benefit_D,Owned,Wood,Flood,-23.5150,-46.6150,1,0,Sample observation
016,Municipality_B,Watershed_02,Zone_P,Resident_P,1992-08-08,Male,High School,2900,None,Owned,Masonry,None,-23.5160,-46.6160,3,1,Sample observation
017,Municipality_B,Watershed_02,Zone_Q,Resident_Q,1984-10-22,Female,High School,2400,Benefit_A,Owned,Masonry,Flood,-23.5170,-46.6170,5,2,Sample observation
018,Municipality_B,Watershed_02,Zone_R,Resident_R,1978-01-16,Male,Elementary School,1700,Benefit_C,Rented,Wood,Erosion,-23.5180,-46.6180,2,0,Sample observation
019,Municipality_B,Watershed_02,Zone_S,Resident_S,1990-12-29,Female,College Degree,5300,None,Financed,Masonry,None,-23.5190,-46.6190,2,0,Sample observation
020,Municipality_B,Watershed_02,Zone_T,Resident_T,1967-06-04,Male,Elementary School,1621,Benefit_D,Owned,Mixed,Flood;Erosion,-23.5200,-46.6200,2,0,Sample observation
021,Municipality_C,Watershed_03,Zone_U,Resident_U,1986-03-21,Female,High School,2700,Benefit_A,Owned,Masonry,Flood,-23.5210,-46.6210,4,2,Sample observation
022,Municipality_C,Watershed_03,Zone_V,Resident_V,1973-07-13,Male,High School,3400,None,Owned,Masonry,None,-23.5220,-46.6220,3,1,Sample observation
023,Municipality_C,Watershed_03,Zone_W,Resident_W,1998-09-30,Female,College Degree,6000,None,Financed,Masonry,None,-23.5230,-46.6230,2,0,Sample observation
024,Municipality_C,Watershed_03,Zone_X,Resident_X,1961-04-09,Male,Elementary School,1518,Benefit_D,Owned,Wood,Flood,-23.5240,-46.6240,1,0,Sample observation
025,Municipality_C,Watershed_03,Zone_Y,Resident_Y,1981-08-17,Female,High School,2200,Benefit_B,Owned,Masonry,Erosion,-23.5250,-46.6250,5,3,Sample observation
026,Municipality_C,Watershed_03,Zone_Z,Resident_Z,1976-02-28,Male,High School,3100,None,Owned,Masonry,None,-23.5260,-46.6260,4,1,Sample observation
027,Municipality_C,Watershed_03,Zone_AA,Resident_AA,1993-01-11,Female,College Degree,4700,None,Financed,Masonry,None,-23.5270,-46.6270,2,0,Sample observation
028,Municipality_C,Watershed_03,Zone_AB,Resident_AB,1965-05-19,Male,Elementary School,1621,Benefit_C,Owned,Mixed,Flood;Landslide,-23.5280,-46.6280,2,0,Sample observation
029,Municipality_C,Watershed_03,Zone_AC,Resident_AC,1987-11-07,Female,High School,2500,Benefit_A,Owned,Masonry,Flood,-23.5290,-46.6290,4,2,Sample observation
030,Municipality_C,Watershed_03,Zone_AD,Resident_AD,1974-10-01,Male,High School,3700,None,Owned,Masonry,None,-23.5300,-46.6300,3,1,Sample observation
